ID,name,power,kill,path
53114051,,7028851,23564,Screenshot_2020-07-17-19-19-57.png
60143585,,4231847,0,Screenshot_2020-07-17-19-20-04.png
63270437,,3192644,0,Screenshot_2020-07-17-19-20-10.png
63002044,,8018841,467,Screenshot_2020-07-17-19-20-16.png
32904825,,7028430,25515,Screenshot_2020-07-17-19-20-22.png
32915466,,4151270,252964,Screenshot_2020-07-17-19-20-28.png
49497280,,2340675,20303,Screenshot_2020-07-17-19-20-34.png
64094946,,1492588,4832,Screenshot_2020-07-17-19-20-41.png
69419248,,53694,0,Screenshot_2020-07-17-19-20-47.png
32914780,,72134525,6879402,Screenshot_2020-07-17-19-20-57.png
32921102,,63487461,14723705,Screenshot_2020-07-17-19-21-03.png
33003834,,51348420,12036964,Screenshot_2020-07-17-19-21-09.png
32948675,,42533568,1147994,Screenshot_2020-07-17-19-21-15.png
34000149,,69452636,11230236,Screenshot_2020-07-17-19-21-22.png
32944092,,58017270,11887762,Screenshot_2020-07-17-19-21-28.png
32858136,,43789496,4173307,Screenshot_2020-07-17-19-21-34.png
32904056,,40618917,5691505,Screenshot_2020-07-17-19-21-40.png
32877848,,38111814,3046637,Screenshot_2020-07-17-19-21-46.png
32892748,,33698982,825534,Screenshot_2020-07-17-19-21-52.png
32885285,,36170925,15218710,Screenshot_2020-07-17-19-21-58.png
32901235,,32239689,153638,Screenshot_2020-07-17-19-22-05.png
34882192,,31497076,41479,Screenshot_2020-07-17-19-22-14.png
32873061,,31048561,2572974,Screenshot_2020-07-17-19-22-20.png
42395617,,17396256,898314,Screenshot_2020-07-17-19-22-26.png
0,,3480996,30602,Screenshot_2020-07-17-19-22-33.png
35658838,,31106891,1869634,Screenshot_2020-07-17-19-22-39.png
42193164,,20504328,207800,Screenshot_2020-07-17-19-22-45.png
38066976,,12822817,49660,Screenshot_2020-07-17-19-22-51.png
41805300,,2248134,0,Screenshot_2020-07-17-19-22-57.png
42547043,,1957670,30845,Screenshot_2020-07-17-19-23-03.png
56796484,,1180281,6479,Screenshot_2020-07-17-19-23-10.png
42546537,,1765499,41443,Screenshot_2020-07-17-19-23-16.png
42482910,,1022609,0,Screenshot_2020-07-17-19-23-22.png
42395617,,17396256,898314,Screenshot_2020-07-17-19-23-31.png
38003357,,3480996,30602,Screenshot_2020-07-17-19-23-37.png
42547043,,1957670,30845,Screenshot_2020-07-17-19-23-44.png
56796484,,1180281,6479,Screenshot_2020-07-17-19-23-50.png
38066976,,12822817,49660,Screenshot_2020-07-17-19-23-56.png
41805300,,2248134,0,Screenshot_2020-07-17-19-24-02.png
42546537,,1765499,41443,Screenshot_2020-07-17-19-24-08.png
42482910,,1022609,0,Screenshot_2020-07-17-19-24-14.png
55222825,,849942,332,Screenshot_2020-07-17-19-24-20.png
52115995,,491354,0,Screenshot_2020-07-17-19-24-27.png
55223781,,819236,0,Screenshot_2020-07-17-19-24-33.png
68575684,,396921,0,Screenshot_2020-07-17-19-24-39.png
